公司标签,职位名称,公司名称,经纬度,jobid,薪资,城市,学历要求,经验要求,公司性质,行业,发布时间,薪资下限(k),薪资上限(k),平均薪资(k),省份,区域,详细地址,学历等级,经验年限
"['小巨人企业', '创新型中小企业', '专精特新企业', '连续2年专利申请量极速增长', '拥有节能环保技术', '高新技术企业', 'A轮融资', '绝对控股2家公司', '市县级政府引导基金投资', '战略性新兴领域创新能力', '拥有发明专利', '技术布局行业领先', '拥有工艺创新能力', '拥有绿色资质', '拥有自主品牌']",嵌入式软件工程师（应用层）,深圳森云智能科技,"['22.702639', '114.3025']",165174420,1.2-2.4万,深圳市-龙岗区,本科,1年及以上,民营,汽车,1.76683E+12,12,24,18,广东省,龙岗区,广东省深圳市龙岗区宝龙街道同乐第八工业区,4,1
"['旗下品牌同行前20%', '大学生就业贡献', '拥有绿色资质', '高新技术企业', '红杉中国投资', 'B轮融资', '绝对控股1家公司', '市县级政府引导基金投资', '战略性新兴领域创新能力', '拥有专利', '专利授权量同领域前20%', '技术布局行业领先', '拥有绿色低碳技术', '拥有自主品牌']",嵌入式软件开发工程师,深圳市富兰瓦时技术,"['22.645925', '113.928585']",167854307,2.4-2.5万,深圳市-宝安区,硕士,在校生/应届生,民营,新能源,1.76581E+12,24,25,24.5,广东省,宝安区,广东省深圳市宝安区石岩街道应人石公园应人石新村,5,0
"['2023年营收同行前5%', '专精特新企业', '大学生就业贡献', '拥有节能环保技术', '高新技术企业', '科技型中小企业', '双软认证企业', '央企供应商', '经营年限全国同行前10%', '战略性新兴领域创新能力', '拥有发明专利', '专利授权量同领域前5%', '技术布局行业领先', '拥有绿色资质']",单片机硬件（嵌入式）研发助理工程师,深圳市常工电子计算机,"['22.614227', '113.850446']",144259209,5-7千,深圳市-宝安区,本科,1年,民营,通信/电信/网络设备,1.76217E+12,5,7,6,广东省,宝安区,广东省深圳市宝安区航城街道G2518深岑高速深圳深岩燃气有限公司三围供应站,4,1
"['拥有高价值专利', '拥有绿色资质', '专精特新企业', '知名品牌供应商', '高新技术企业', '小巨人企业', '国企供应商', '经营年限全国同行前15%', 'C+轮融资', '绝对控股2家公司', '战略性新兴领域创新能力', '专利授权量同领域前100', '技术布局行业领先', '拥有自主品牌', '大学生就业贡献']",嵌入式开发工程师（实习）,深圳市紫光同创电子,"['22.543969', '113.957087']",168925374,3-4千,深圳市-南山区,本科,在校生/应届生,民营,电子技术/半导体/集成电路,1.76167E+12,3,4,3.5,广东省,南山区,广东省深圳市南山区粤海街道来玩Prayer-X青年旅社大冲城市花园,4,0
"['旗下品牌同行前40%', '创新型中小企业', '大学生就业贡献', '高新技术企业', '科技型中小企业', '经营年限全国同行前10%', '战略性新兴领域创新能力', '拥有发明专利', '技术布局行业领先', '拥有工艺创新能力']",嵌入式算法工程师,深圳市爱立普科技,"['22.673836', '113.93257']",167368548,7-9千,深圳市-宝安区,本科,1年及以上,民营,贸易/进出口,1.76537E+12,7,9,8,广东省,宝安区,广东省深圳市宝安区石岩街道罗租工业大道327号日新百货(罗租大道店),4,1
"['大学生就业贡献', '专利授权量同领域前50', '拥有绿色低碳技术', '拥有工艺创新能力', '旗下品牌同行前10%', '拥有节能环保技术', '外商投资企业', '经营年限全国同行前5%', '绝对控股2家公司', '战略性新兴领域创新能力', '拥有高价值专利', '技术布局行业领先', '拥有自主品牌', '全国多家直营店']",MCU嵌入式系统-应用工程师(2025年和2026应届毕业生）,瑞萨电子（中国）,"['22.563912', '114.077503']",169850601,1.8-1.9万·14薪,深圳市-福田区,硕士,无需经验,外资（非欧美）,电子技术/半导体/集成电路,1.7665E+12,15.4,16.3,15.9,广东省,福田区,广东省深圳市福田区华富街道环山西路笔架山公园,5,0
"['拥有绿色低碳技术', '专精特新企业', '拥有节能环保技术', '高新技术企业', '经营年限全国同行前5%', '战略性新兴领域创新能力', '拥有专利', '专利授权量同领域前20%', '技术布局行业领先', '拥有工艺创新能力']",PD快充移动电源嵌入式软件工程师,深圳市鸿光盛业电子,"['22.623376', '114.037474']",148019457,1-2万·13薪,深圳市-龙华区,大专,1年及以上,民营,电子技术/半导体/集成电路,1.76417E+12,9.2,18.5,13.8,广东省,龙华区,广东省深圳市龙华区民治街道宜水居公寓塘水围一区,3,1
"['创新型中小企业', '拥有绿色资质', '高新技术企业', '经营年限全国同行前10%', 'B+轮融资', '绝对控股3家公司', '战略性新兴领域创新能力', '拥有发明专利', '技术布局行业领先', '拥有工艺创新能力', '拥有自主品牌', '大学生就业贡献']",嵌入式软件实习生,深圳市深研生物科技,"['22.50525', '113.927242']",169931383,150元/天,深圳市-南山区,本科,在校生/应届生,民营,制药/生物工程,1.76641E+12,3.3,3.3,3.3,广东省,南山区,广东省深圳市南山区粤海街道南油生活区南油文化广场,4,0
"['创新型中小企业', '拥有节能环保技术', '高新技术企业', '经营年限全国同行前10%', '绝对控股1家公司', '战略性新兴领域创新能力', '拥有发明专利', '专利授权量同领域前10%', '技术布局行业领先', '拥有工艺创新能力', '拥有自主品牌', '大学生就业贡献']",嵌入式软件工程师实习生,深圳市星火数控技术,"['22.649694', '113.928024']",169335177,130元/天,深圳市-宝安区,本科,无需经验,民营,仪器仪表/工业自动化,1.76339E+12,2.9,2.9,2.9,广东省,宝安区,广东省深圳市宝安区石岩街道应人石路185-101号福源楼,4,0
"['创新型中小企业', '专精特新企业', '国企供应商', '知名品牌供应商', 'A股上市', '高新技术企业', '省级工程技术研究中心', '上市企业供应商', '政府供应商', '经营年限全国同行前5%', '绝对控股17家公司', '战略性新兴领域创新能力', '拥有节能环保技术', '拥有高价值专利', '专利授权量同领域前100', '技术布局行业领先', '拥有绿色低碳技术', '拥有工艺创新能力', '拥有绿色资质', '拥有自主品牌', '旗下品牌同行前5%', '大学生就业贡献']",控制软件工程师（核心研发岗）,深圳市禾望电气,"['22.591062', '113.952123']",166666547,35-70万/年,深圳市-南山区,本科,1年及以上,已上市,新能源,1.76648E+12,29.2,58.3,43.8,广东省,南山区,广东省深圳市南山区西丽街道沙河西路4128号西丽湖,4,1
"['央企供应商', '拥有节能环保技术', '知名品牌供应商', 'A股上市', '高新技术企业', '省级企业技术中心', '省级工程技术研究中心', '上市企业供应商', '经营年限全国同行前5%', '华泰证券投资', '绝对控股11家公司', '市县级政府引导基金投资', '战略性新兴领域创新能力', '拥有高价值专利', '专利授权量同领域前500', '技术布局行业领先', '拥有绿色低碳技术', '拥有工艺创新能力', '拥有绿色资质', '拥有自主品牌', '旗下品牌同行前5%', '大学生就业贡献']",助理研发工程师（软件/硬件）,广东九联科技,"['22.604391', '114.017296']",167337530,7千-1.2万,深圳市-龙华区,本科,无需经验,已上市,电子技术/半导体/集成电路,1.76105E+12,7,12,9.5,广东省,龙华区,广东省深圳市龙华区民治街道留仙大道,4,0
"['拥有绿色低碳技术', '专精特新企业', '拥有节能环保技术', '上市企业子公司', '高新技术企业', '小巨人企业', '省级工程技术研究中心', '经营年限全国同行前5%', '战略投资融资', '绝对控股1家公司', '战略性新兴领域创新能力', '拥有高价值专利', '专利授权量同领域前5%', '技术布局行业领先', '拥有工艺创新能力', '拥有自主品牌', '大学生就业贡献']",嵌入式软件工程师,深圳众为兴技术,"['22.698692', '113.824396']",169050137,2.5-3.5万·14薪,深圳市-宝安区,博士,在校生/应届生,民营,仪器仪表/工业自动化,1.76219E+12,21.4,30,25.7,广东省,宝安区,广东省深圳市宝安区新桥街道凤塘大道64号微星工业园,6,0
"['专精特新企业', '大学生就业贡献', '拥有绿色资质', '拥有节能环保技术', '高新技术企业', '小巨人企业', '经营年限全国同行前15%', '绝对控股1家公司', '战略性新兴领域创新能力', '拥有发明专利', '专利授权量同领域前500', '技术布局行业领先', '拥有绿色低碳技术', '拥有工艺创新能力', '拥有自主品牌']",研发储干(软件/硬件),深圳市太美亚电子科技,"['22.73057', '113.871039']",168691736,5-6千,深圳市-宝安区,硕士,在校生/应届生,民营,电子技术/半导体/集成电路,1.76502E+12,5,6,5.5,广东省,宝安区,广东省深圳市宝安区新桥街道S86深圳外环高速,5,0
"['旗下品牌同行前40%', '创新型中小企业', '专精特新企业', '拥有节能环保技术', '高新技术企业', '科技型中小企业', '经营年限全国同行前20%', '战略性新兴领域创新能力', '拥有专利', '专利授权量同领域前20%', '技术布局行业领先', '拥有绿色资质']",助理软件工程师（双休）,深圳市美瑞克电子科技,"['22.649766', '114.131471']",169960496,6-8千,深圳市-龙岗区,本科,1年及以上,民营,仪器仪表/工业自动化,1.76651E+12,6,8,7,广东省,龙岗区,广东省深圳市龙岗区南湾街道云朗路左右云创谷,4,1
"['2023年营收同行前50%', '客流量高于同行', '经营年限全省同行前20%', '大学生就业贡献']",c++开发工程师,西安极光盛世信息科技,"['22.517849', '113.94775']",168797306,2-2.8万,深圳市-南山区,本科,无需经验,民营,计算机服务(系统、数据服务、维修),1.76115E+12,20,28,24,广东省,南山区,广东省深圳市南山区粤海街道深圳湾体育中心,4,0
"['小巨人企业', '旗下品牌同行前15%', '创新型中小企业', '拥有节能环保技术', '知名品牌供应商', '上市企业供应商', '高新技术企业', '科技型中小企业', '双软认证企业', '央企供应商', '经营年限全国同行前10%', '战略性新兴领域创新能力', '拥有高价值专利', '专利授权量同领域前10%', '技术布局行业领先', '拥有绿色低碳技术', '拥有工艺创新能力', '拥有绿色资质', '拥有自主品牌', '大学生就业贡献']",嵌入式软件工程师(2026届电气专业）,深圳市国立智能电力科技,"['22.699721', '114.301374']",168790603,1.3-2万,深圳市-龙岗区,硕士,在校生/应届生,民营,电气/电力/水利,1.76113E+12,13,20,16.5,广东省,龙岗区,广东省深圳市龙岗区宝龙街道宝龙五路,5,0
"['创新型中小企业', '专精特新企业', '拥有绿色资质', '高新技术企业', '科技型中小企业', '经营年限全国同行前10%', '战略性新兴领域创新能力', '拥有专利', '技术布局行业领先', '拥有绿色低碳技术', '拥有工艺创新能力', '拥有自主品牌', '大学生就业贡献']",嵌入式硬件工程师,深圳市安瑞创电子科技,"['22.610464', '114.067526']",162396729,2-3万,深圳市-龙岗区,,无需经验,民营,贸易/进出口,1.76709E+12,20,30,25,广东省,龙岗区,广东省深圳市龙岗区坂田街道水库路12号南坑第二工业区,,0
"['旗下品牌同行前40%', '创新型中小企业', '专精特新企业', '科技型中小企业', '经营年限全国同行前15%', '战略性新兴领域创新能力', '拥有发明专利', '专利授权量同领域前5%', '技术布局行业领先', '拥有自主品牌']",硬件助理工程师,深圳市保益新能电气,"['22.687635', '114.002623']",170079459,6.5-7千,深圳市-龙华区,大专,无需经验,民营,通信/电信/网络设备,1.76727E+12,6.5,7,6.8,广东省,龙华区,广东省深圳市龙华区大浪街道大浪北路,3,0
"['拥有高价值专利', '2024年专利授权量同比高速增长', '拥有绿色低碳技术', '拥有绿色资质', '知名品牌供应商', '高新技术企业', '省级工程技术研究中心', '央企供应商', '经营年限全国同行前20%', '绝对控股5家公司', '战略性新兴领域创新能力', '拥有节能环保技术', '技术布局行业领先', '拥有自主品牌', '大学生就业贡献']",嵌入式软件工程师-2026届校招（985/211硕士）,银河电力集团,"['22.530125', '113.946078']",168551258,1.4-1.8万·13薪,深圳市-南山区,硕士,在校生/应届生,民营,电气/电力/水利,1.7602E+12,12.9,16.6,14.8,广东省,南山区,广东省深圳市南山区粤海街道科苑南路留学生创业大厦,5,0
['大学生就业贡献'],电子工程师,石家庄鸣迅信息技术,"['22.647498', '113.92919']",162663456,8千-1万·13薪,深圳市-宝安区,大专,无需经验,民营,计算机软件,1.76705E+12,7.4,9.2,8.3,广东省,宝安区,广东省深圳市宝安区石岩街道应新路阳台山森林公园,3,0
