职位名称,公司名称,经纬度,jobid,薪资,城市,学历要求,经验要求,公司性质,行业,发布时间,薪资下限(k),薪资上限(k),平均薪资(k),纬度,经度,主城市,区县,学历等级,经验年限
嵌入式软件开发3（工作地武汉）,中国船舶集团有限公司第七一〇研究所,"['30.390866', '114.348331']",168090429,1.5-1.6万,武汉-江夏区,硕士,在校生/应届生,事业单位,学术/科研,2025-12-08 17:56:23,15.0,16.0,15.5,30.390866,114.348331,武汉,江夏区,5.0,0.0
软件开发工程师（C/C++-成都）,中国信息通信科技集团,"['30.645848', '104.044352']",167923325,,成都,本科,在校生/应届生,国企,通信/电信/网络设备,2025-12-26 05:00:39,,,,30.645848,104.044352,成都,,4.0,0.0
嵌入式硬件开发(浙江绍兴)（成都）,浙江捷昌线性驱动科技,"['29.525223', '120.842252']",168433164,8千-1.5万,绍兴-新昌县,本科,在校生/应届生,民营,机械/设备/重工,2025-09-30 11:10:28,8.0,15.0,11.5,29.525223,120.842252,绍兴,新昌县,4.0,0.0
C/Qt/C++工程师,中国信息通信科技集团,"['30.660779', '104.093178']",168155130,,成都,本科,在校生/应届生,国企,通信/电信/网络设备,2025-12-27 04:22:29,,,,30.660779,104.093178,成都,,4.0,0.0
嵌入式软件开发2（工作地武汉）,中国船舶集团有限公司第七一〇研究所,"['30.390866', '114.348331']",168090428,1.5-1.6万,武汉-江夏区,硕士,在校生/应届生,事业单位,学术/科研,2025-12-08 17:56:23,15.0,16.0,15.5,30.390866,114.348331,武汉,江夏区,5.0,0.0
嵌入式开发工程师,苏州馥昶空间技术,"['30.694843', '104.203753']",169994637,8千-1.6万·14薪,成都-成华区,本科,1年及以上,民营,航天/航空,2025-12-25 14:53:03,6.9,13.7,10.3,30.694843,104.203753,成都,成华区,4.0,1.0
嵌入式硬件开发（工作地武汉）,中国船舶集团有限公司第七一〇研究所,"['30.391584', '114.346993']",168090581,1.5-1.6万,武汉-江夏区,硕士,在校生/应届生,事业单位,学术/科研,2025-12-08 17:56:17,15.0,16.0,15.5,30.391584,114.346993,武汉,江夏区,5.0,0.0
嵌入式软件工程师(J10046),四川英杰电气,"['30.765898', '103.934472']",150241419,7千-1.4万·14薪,成都-郫都区,本科,无需经验,已上市,仪器仪表/工业自动化,2025-11-10 17:11:09,6.0,12.0,9.0,30.765898,103.934472,成都,郫都区,4.0,0.0
软件开发工程师,昆山丘钛微电子科技,"['31.34106', '120.890399']",168561160,6千-1.2万,昆山,本科,在校生/应届生,已上市,电子技术/半导体/集成电路,2025-11-16 23:36:00,6.0,12.0,9.0,31.34106,120.890399,昆山,,4.0,0.0
嵌入式软件开发,四川新智极机械,"['30.713469', '104.034868']",161413602,5-8千,成都-金牛区,本科,无需经验,民营,电子技术/半导体/集成电路,2025-12-18 09:06:48,5.0,8.0,6.5,30.713469,104.034868,成都,金牛区,4.0,0.0
初级嵌入式软件工程师,成都奎安科技,"['30.554107', '104.077616']",151939000,6-9千,成都-高新区,本科,1年,民营,计算机软件,2025-12-25 19:31:13,6.0,9.0,7.5,30.554107,104.077616,成都,高新区,4.0,1.0
嵌入式软件开发1（工作地武汉）,中国船舶集团有限公司第七一〇研究所,"['30.390866', '114.348331']",168089687,1.5-1.6万,武汉-江夏区,硕士,在校生/应届生,事业单位,学术/科研,2025-12-24 16:23:43,15.0,16.0,15.5,30.390866,114.348331,武汉,江夏区,5.0,0.0
嵌入式软件开发助理,成都臻琰科技,"['30.544243', '104.074739']",149328709,4-6千·13薪,成都-高新区,本科,无需经验,民营,计算机软件,2025-12-25 19:13:12,3.7,5.5,4.6,30.544243,104.074739,成都,高新区,4.0,0.0
嵌入式开发工程师助理,北京骐骥优才科技,"['30.658944', '104.08633']",169591236,6-9千·13薪,成都-锦江区,本科,1年及以上,民营,专业服务(咨询、人力资源、财会),2025-12-01 22:03:08,5.5,8.3,6.9,30.658944,104.08633,成都,锦江区,4.0,1.0
嵌入式开发工程师,四川科达锐信息技术,"['30.565569', '104.281814']",168860428,4-6千,成都,本科,无需经验,民营,计算机软件,2025-11-17 16:51:19,4.0,6.0,5.0,30.565569,104.281814,成都,,4.0,0.0
硬件开发2（工作地武汉）,中国船舶集团有限公司第七一〇研究所,"['30.390866', '114.348331']",168089948,1.5-1.6万,武汉-江夏区,硕士,在校生/应届生,事业单位,学术/科研,2025-12-24 16:23:42,15.0,16.0,15.5,30.390866,114.348331,武汉,江夏区,5.0,0.0
嵌入式软件开发助理工程师,四川科航锐科技,"['30.665568', '104.076985']",162492685,5-7千,成都-青羊区,本科,无需经验,民营,计算机软件,2025-12-26 09:50:22,5.0,7.0,6.0,30.665568,104.076985,成都,青羊区,4.0,0.0
应用工程师（地点：深圳）（成都）,苏州顺芯半导体,"['22.539249', '113.960349']",161144015,1.4-1.9万,深圳-南山区,本科,在校生/应届生,民营,电子技术/半导体/集成电路,2025-12-26 08:51:44,14.0,19.0,16.5,22.539249,113.960349,深圳,南山区,4.0,0.0
初级嵌入式软件工程师,成都菁蓉联创科技,"['30.554107', '104.077616']",164494047,7千-1万,成都-高新区,本科,在校生/应届生,民营,计算机软件,2025-12-10 11:02:39,7.0,10.0,8.5,30.554107,104.077616,成都,高新区,4.0,0.0
控制系统硬件开发（工作地武汉）,中国船舶集团有限公司第七一〇研究所,"['30.390866', '114.348331']",168089624,1.5-1.6万,武汉-江夏区,硕士,在校生/应届生,事业单位,学术/科研,2025-12-24 16:23:43,15.0,16.0,15.5,30.390866,114.348331,武汉,江夏区,5.0,0.0
嵌入式工程师助理,成都安铭汇信息技术,"['30.547993', '104.077834']",167837282,5-8千,成都-武侯区,本科,1年及以上,民营,计算机软件,2025-11-24 11:38:53,5.0,8.0,6.5,30.547993,104.077834,成都,武侯区,4.0,1.0
应用工程师（地点：上海）（成都）,苏州顺芯半导体,"['31.186858', '121.43842']",161144066,1.4-1.9万,上海-徐汇区,本科,在校生/应届生,民营,电子技术/半导体/集成电路,2025-12-26 08:51:47,14.0,19.0,16.5,31.186858,121.43842,上海,徐汇区,4.0,0.0
嵌入式工程师助理,宜宾九博信息技术,"['30.586929', '104.083059']",167849007,4-6千,成都-武侯区,本科,1年,民营,电子技术/半导体/集成电路,2025-11-29 09:51:11,4.0,6.0,5.0,30.586929,104.083059,成都,武侯区,4.0,1.0
软件开发2（工作地武汉）,中国船舶集团有限公司第七一〇研究所,"['30.390866', '114.348331']",168090261,1.5-1.6万,武汉-江夏区,硕士,在校生/应届生,事业单位,学术/科研,2025-12-08 17:56:24,15.0,16.0,15.5,30.390866,114.348331,武汉,江夏区,5.0,0.0
软件开发1（工作地武汉）,中国船舶集团有限公司第七一〇研究所,"['30.390866', '114.348331']",168090023,1.5-1.6万,武汉-江夏区,硕士,在校生/应届生,事业单位,学术/科研,2025-12-24 16:23:49,15.0,16.0,15.5,30.390866,114.348331,武汉,江夏区,5.0,0.0
嵌入式工程师,成都安铭汇信息技术,"['30.547993', '104.077834']",162906633,9千-1.2万,成都-武侯区,大专,无需经验,民营,计算机软件,2025-11-24 11:38:53,9.0,12.0,10.5,30.547993,104.077834,成都,武侯区,3.0,0.0
初级嵌入式开发工程师,成都睿工智能控制技术,"['30.679401', '104.072192']",168841645,6-8千,成都-青羊区,大专,无需经验,民营,建筑/建材/工程,2025-10-24 09:53:33,6.0,8.0,7.0,30.679401,104.072192,成都,青羊区,3.0,0.0
软件开发3（工作地宜昌）,中国船舶集团有限公司第七一〇研究所,"['30.694217', '111.321064']",168095151,1.5-1.6万,宜昌,硕士,在校生/应届生,事业单位,学术/科研,2025-12-24 16:50:18,15.0,16.0,15.5,30.694217,111.321064,宜昌,,5.0,0.0
嵌入式软件工程师,成都熊谷加世电器,"['30.764028', '103.917158']",162561017,10-15万/年,成都-郫都区,本科,在校生/应届生,民营,机械/设备/重工,2025-11-22 13:07:23,8.3,12.5,10.4,30.764028,103.917158,成都,郫都区,4.0,0.0
软件开发工程师（成都）,深圳市紫光同创电子,"['22.544052', '113.957034']",149190209,1.4-2.8万,深圳-南山区,本科,在校生/应届生,民营,电子技术/半导体/集成电路,2025-12-28 04:43:06,14.0,28.0,21.0,22.544052,113.957034,深圳,南山区,4.0,0.0
嵌入式软件开发工程师,成都零夏八度科技,"['30.545565', '104.081865']",158355420,7-9千·13薪,成都-高新区,本科,1年,民营,计算机软件,2025-12-25 19:23:16,6.5,8.3,7.4,30.545565,104.081865,成都,高新区,4.0,1.0
硬件开发1（工作地武汉）,中国船舶集团有限公司第七一〇研究所,"['30.390866', '114.348331']",168089652,1.5-1.6万,武汉-江夏区,硕士,在校生/应届生,事业单位,学术/科研,2025-12-24 16:23:42,15.0,16.0,15.5,30.390866,114.348331,武汉,江夏区,5.0,0.0
嵌入式硬件工程师,成都睿工智能控制技术,"['30.679401', '104.072192']",168841920,6-8千,成都-青羊区,大专,无需经验,民营,建筑/建材/工程,2025-11-05 09:23:44,6.0,8.0,7.0,30.679401,104.072192,成都,青羊区,3.0,0.0
汽车电子嵌入式底层驱动工程师,成都创科升电子科技,"['30.555307', '104.183629']",168610828,5千-1万,成都-龙泉驿区,本科,无需经验,民营,电子技术/半导体/集成电路,2025-10-14 15:23:29,5.0,10.0,7.5,30.555307,104.183629,成都,龙泉驿区,4.0,0.0
嵌入式助理工程师,四川进拓创力机械设备,"['30.620771', '104.010608']",152239907,5-7千,成都-武侯区,大专,无需经验,民营,原材料和加工,2025-12-26 08:54:14,5.0,7.0,6.0,30.620771,104.010608,成都,武侯区,3.0,0.0
硬件开发3（工作地武汉）,中国船舶集团有限公司第七一〇研究所,"['30.390866', '114.348331']",168090596,1.5-1.6万,武汉-江夏区,硕士,在校生/应届生,事业单位,学术/科研,2025-12-08 17:56:18,15.0,16.0,15.5,30.390866,114.348331,武汉,江夏区,5.0,0.0
嵌入式实习生,成都融御歆信息技术,"['30.547122', '104.06545']",167449823,4-6千,成都-高新区,本科,无需经验,民营,计算机软件,2025-12-25 18:57:34,4.0,6.0,5.0,30.547122,104.06545,成都,高新区,4.0,0.0
嵌入式测试,成都臻琰科技,"['30.648713', '104.049424']",157025225,5-7千,成都-武侯区,本科,无需经验,民营,计算机软件,2025-12-25 19:13:12,5.0,7.0,6.0,30.648713,104.049424,成都,武侯区,4.0,0.0
嵌入式软件工程师,烟台睿创微纳技术,"['30.477874', '104.01381']",169963197,1.6-2.5万,成都,硕士,1年及以上,已上市,电子技术/半导体/集成电路,2025-12-23 20:50:56,16.0,25.0,20.5,30.477874,104.01381,成都,,5.0,1.0
嵌入式软件工程师,成都云智优企业管理咨询,"['30.599284', '104.072329']",168972521,17-34万/年,成都,硕士,1年及以上,民营,专业服务(咨询、人力资源、财会),2025-10-30 11:10:39,14.2,28.3,21.2,30.599284,104.072329,成都,,5.0,1.0
硬件开发4（工作地宜昌）,中国船舶集团有限公司第七一〇研究所,"['30.694217', '111.321064']",168095131,1.5-1.6万,宜昌,硕士,在校生/应届生,事业单位,学术/科研,2025-12-24 16:50:18,15.0,16.0,15.5,30.694217,111.321064,宜昌,,5.0,0.0
嵌入式工程师助理,成都安铭汇信息技术,"['30.645738', '104.110504']",162906697,9千-1.2万,成都-锦江区,大专,无需经验,民营,计算机软件,2025-11-24 11:38:53,9.0,12.0,10.5,30.645738,104.110504,成都,锦江区,3.0,0.0
初级嵌入式开发助理,成都睿工智能控制技术,"['30.679401', '104.072192']",168841697,4-6千,成都-青羊区,大专,无需经验,民营,建筑/建材/工程,2025-10-24 09:54:15,4.0,6.0,5.0,30.679401,104.072192,成都,青羊区,3.0,0.0
嵌入式研发工程师,成都菁蓉联创科技,"['30.554107', '104.077616']",161924842,7千-1万,成都-高新区,本科,在校生/应届生,民营,计算机软件,2025-12-10 12:53:05,7.0,10.0,8.5,30.554107,104.077616,成都,高新区,4.0,0.0
嵌入式开发工程师,成都西加云杉科技,"['30.554107', '104.077616']",161927479,8千-1.5万,成都-高新区,本科,在校生/应届生,民营,计算机软件,2025-12-10 12:53:06,8.0,15.0,11.5,30.554107,104.077616,成都,高新区,4.0,0.0
嵌入式软件工程师,成都佰维存储科技,"['30.554107', '104.077616']",161932137,1.2-2.4万·14薪,成都-高新区,硕士,在校生/应届生,民营,计算机软件,2025-12-10 12:52:49,10.3,20.6,15.4,30.554107,104.077616,成都,高新区,5.0,0.0
嵌入式软件测试工程师,成都摩尔环宇测试技术,"['30.554107', '104.077616']",161919492,5千-1万,成都-高新区,本科,在校生/应届生,民营,计算机软件,2025-12-10 12:53:17,5.0,10.0,7.5,30.554107,104.077616,成都,高新区,4.0,0.0
plc嵌入式软件开发工程师,成都至诚云连通信科技,"['30.685917', '104.150751']",164308469,5-7千,成都-成华区,大专,无需经验,民营,通信/电信/网络设备,2025-12-26 08:54:22,5.0,7.0,6.0,30.685917,104.150751,成都,成华区,3.0,0.0
嵌入式测试,成都融御歆信息技术,"['30.547122', '104.06545']",167452638,5-8千,成都-高新区,本科,无需经验,民营,计算机软件,2025-12-25 18:57:34,5.0,8.0,6.5,30.547122,104.06545,成都,高新区,4.0,0.0
嵌入式硬件开发,成都市菲瑞得慕皮具,"['30.726206', '104.013108']",166795798,1-2万,成都,硕士,无需经验,民营,服装/纺织/皮革,2025-11-12 19:15:30,10.0,20.0,15.0,30.726206,104.013108,成都,,5.0,0.0
助理电子工程师+双休,四川新智极机械,"['30.713469', '104.034868']",160761539,5-8千,成都-金牛区,大专,无需经验,民营,电子技术/半导体/集成电路,2025-12-18 09:06:48,5.0,8.0,6.5,30.713469,104.034868,成都,金牛区,3.0,0.0
数字工程师（成都）,中国航空无线电电子研究所,"['30.690852', '103.963028']",168009166,1-2万,成都-青羊区,硕士,在校生/应届生,事业单位,政府/公共事业,2025-12-27 04:23:32,10.0,20.0,15.0,30.690852,103.963028,成都,青羊区,5.0,0.0
simulink开发工程师,成都创科升电子科技,"['30.555307', '104.183629']",169460606,5千-1万,成都-龙泉驿区,本科,1年及以上,民营,电子技术/半导体/集成电路,2025-11-24 13:52:55,5.0,10.0,7.5,30.555307,104.183629,成都,龙泉驿区,4.0,1.0
嵌入式软件开发工程师,成都立德赛科技,"['30.567532', '104.201473']",169206782,5-7千,成都-龙泉驿区,本科,1年及以上,民营,医疗设备/器械,2025-12-25 08:24:57,5.0,7.0,6.0,30.567532,104.201473,成都,龙泉驿区,4.0,1.0
电子研发工程师,成都泓睿科技,"['30.799538', '103.905446']",169856060,15-22万/年,成都-郫都区,硕士,在校生/应届生,民营,机械/设备/重工,2025-12-19 18:05:25,12.5,18.3,15.4,30.799538,103.905446,成都,郫都区,5.0,0.0
嵌入式软件开发工程师,天府无线智能研究院,"['30.766562', '103.934327']",169798298,1.2-2万·13薪,成都-郫都区,本科,1年及以上,事业单位,政府/公共事业,2025-12-12 17:07:33,11.1,18.5,14.8,30.766562,103.934327,成都,郫都区,4.0,1.0
嵌入式软件开发,恒玄科技（上海）,"['30.547518', '104.070357']",151402266,1.5-3万·15薪,成都-武侯区,本科,1年及以上,已上市,电子技术/半导体/集成电路,2025-11-26 19:46:40,12.0,24.0,18.0,30.547518,104.070357,成都,武侯区,4.0,1.0
嵌入式软件工程师,依米康科技集团,"['30.612663', '104.039921']",169258078,1-1.2万,成都-武侯区,本科,在校生/应届生,已上市,建筑/建材/工程,2025-11-12 16:08:05,10.0,12.0,11.0,30.612663,104.039921,成都,武侯区,4.0,0.0
应届校招--嵌入式软件研发,成都长城开发科技,"['30.764267', '103.904537']",169377484,1-1.5万·14薪,成都-郫都区,本科,在校生/应届生,国企,仪器仪表/工业自动化,2025-11-19 10:58:29,8.6,12.9,10.7,30.764267,103.904537,成都,郫都区,4.0,0.0
嵌入式软件工程师 / 单片机工程师,成都市德科立菁锐光电子技术,"['30.799538', '103.905446']",130673726,7千-1.4万,成都-郫都区,本科,在校生/应届生,已上市,电子技术/半导体/集成电路,2025-11-28 09:28:40,7.0,14.0,10.5,30.799538,103.905446,成都,郫都区,4.0,0.0
初级嵌入式软件工程师,成都极趣科技,"['30.687214', '103.804229']",164219227,8千-1.2万·13薪,成都-温江区,本科,无需经验,民营,电子技术/半导体/集成电路,2025-12-12 09:18:32,7.4,11.1,9.2,30.687214,103.804229,成都,温江区,4.0,0.0
Linux开发工程师,成都臻琰科技,"['30.648713', '104.049424']",157020339,6-8千,成都-武侯区,本科,无需经验,民营,计算机软件,2025-12-25 19:13:12,6.0,8.0,7.0,30.648713,104.049424,成都,武侯区,4.0,0.0
中级嵌入式研发工程师,成都菁蓉联创科技,"['30.554107', '104.077616']",164494235,1.2-2万,成都-高新区,本科,在校生/应届生,民营,计算机软件,2025-12-10 11:02:38,12.0,20.0,16.0,30.554107,104.077616,成都,高新区,4.0,0.0
研发工程师,中国铁路通信信号,"['0.000000', '0.000000']",167933866,4.5-8千,成都,本科,在校生/应届生,国企,交通/运输/物流,2025-12-25 14:07:32,4.5,8.0,6.2,0.0,0.0,成都,,4.0,0.0
嵌入式硬件工程师助理,成都睿工智能控制技术,"['30.679401', '104.072192']",168841977,4-6千,成都-青羊区,大专,无需经验,民营,建筑/建材/工程,2025-10-24 09:58:00,4.0,6.0,5.0,30.679401,104.072192,成都,青羊区,3.0,0.0
嵌入式软件实习生,成都极趣科技,"['30.687214', '103.804229']",164219243,4-8千,成都-温江区,本科,无需经验,民营,电子技术/半导体/集成电路,2025-12-12 09:18:22,4.0,8.0,6.0,30.687214,103.804229,成都,温江区,4.0,0.0
嵌入式单片机实习学员（时间要求：6+个月）,成都科立创智能科技,"['30.552939', '104.052905']",163612930,50元/天,成都-高新区,本科,在校生/应届生,民营,电子技术/半导体/集成电路,2025-11-03 15:01:15,1.1,1.1,1.1,30.552939,104.052905,成都,高新区,4.0,0.0
硬件开发工程师（初级/中级）,北京智链元芯科技,"['30.658944', '104.08633']",168560873,8千-1.5万·13薪,成都-锦江区,本科,无需经验,民营,电子技术/半导体/集成电路,2025-10-12 18:24:12,7.4,13.8,10.6,30.658944,104.08633,成都,锦江区,4.0,0.0
电子工程师（25屇生）,上海仁廉信息科技,"['30.545668', '104.094073']",169038836,8千-1.5万·13薪,成都-双流区,本科,无需经验,民营,计算机服务(系统、数据服务、维修),2025-12-28 08:36:02,7.4,13.8,10.6,30.545668,104.094073,成都,双流区,4.0,0.0
物联网开发工程师/助理,四川优胜吉通信技术,"['30.669926', '104.076763']",167244406,3.5-4.5千,成都-青羊区,大专,无需经验,民营,通信/电信/网络设备,2025-12-26 09:17:11,3.5,4.5,4.0,30.669926,104.076763,成都,青羊区,3.0,0.0
硬件工程师 C语言、PCB,四川科航锐科技,"['30.665568', '104.076985']",161807175,5-8千,成都-青羊区,本科,无需经验,民营,计算机软件,2025-12-26 09:50:22,5.0,8.0,6.5,30.665568,104.076985,成都,青羊区,4.0,0.0
嵌入式软件开发工程师,成都极趣科技,"['30.687214', '103.804229']",165832331,7千-1.2万,成都-温江区,本科,无需经验,民营,电子技术/半导体/集成电路,2025-12-12 09:20:25,7.0,12.0,9.5,30.687214,103.804229,成都,温江区,4.0,0.0
硬件工程师,上海仁廉信息科技,"['30.545668', '104.094073']",166562886,8千-1.3万·13薪,成都-双流区,大专,无需经验,民营,计算机服务(系统、数据服务、维修),2025-12-27 13:19:39,7.4,12.0,9.7,30.545668,104.094073,成都,双流区,3.0,0.0
嵌入式工程师,爱佩仪智能装备,"['30.566018', '104.194881']",169281300,1-1.5万,成都,本科,无需经验,外资（欧美）,仪器仪表/工业自动化,2025-12-16 10:08:09,10.0,15.0,12.5,30.566018,104.194881,成都,,4.0,0.0
嵌入式开发工程师（应届生）,深圳万讯自控,"['30.576667', '104.067369']",163035431,8千-1.6万,成都,本科,在校生/应届生,已上市,仪器仪表/工业自动化,2025-12-06 16:02:08,8.0,16.0,12.0,30.576667,104.067369,成都,,4.0,0.0
嵌入式软件开发工程师,北京太格时代电气,"['30.699177', '104.06827']",169450957,7千-1万,成都-金牛区,本科,1年及以上,国企,电气/电力/水利,2025-12-08 08:35:49,7.0,10.0,8.5,30.699177,104.06827,成都,金牛区,4.0,1.0
软件工程师,成都莱普科技,"['30.774275', '103.867078']",166722219,7千-1万,成都-郫都区,本科,无需经验,民营,电子技术/半导体/集成电路,2025-10-24 11:45:54,7.0,10.0,8.5,30.774275,103.867078,成都,郫都区,4.0,0.0
软件工程师,西安布质科技,"['30.553797', '104.071514']",159597201,1.2-1.8万,成都-高新区,大专,无需经验,民营,电子技术/半导体/集成电路,2025-12-26 14:58:25,12.0,18.0,15.0,30.553797,104.071514,成都,高新区,3.0,0.0
软件开发工程师,成都安可提科技,"['30.467461', '104.004231']",168673284,1-1.5万,成都-双流区,本科,无需经验,民营,计算机软件,2025-10-16 17:43:59,10.0,15.0,12.5,30.467461,104.004231,成都,双流区,4.0,0.0
C++开发工程师,西安布质科技,"['30.553797', '104.071514']",158649634,8千-1.5万,成都-高新区,大专,无需经验,民营,电子技术/半导体/集成电路,2025-12-26 14:58:25,8.0,15.0,11.5,30.553797,104.071514,成都,高新区,3.0,0.0
软件开发工程师,成都安可提科技,"['30.467461', '104.004231']",170000016,1-2万,成都-双流区,本科,在校生/应届生,民营,计算机软件,2025-12-25 17:33:58,10.0,20.0,15.0,30.467461,104.004231,成都,双流区,4.0,0.0
C++实习生,成都臻琰科技,"['30.648713', '104.049424']",157024108,130元/天,成都-武侯区,本科,在校生/应届生,民营,计算机软件,2025-12-25 19:13:13,2.9,2.9,2.9,30.648713,104.049424,成都,武侯区,4.0,0.0
电子工程师（初级/中级）,北京智链元芯科技,"['30.658944', '104.08633']",168560891,7千-1.3万·13薪,成都-锦江区,本科,1年及以上,民营,电子技术/半导体/集成电路,2025-10-12 18:26:34,6.5,12.0,9.2,30.658944,104.08633,成都,锦江区,4.0,1.0
物联网工程师,石家庄迈众人力资源服务,"['30.567459', '104.200479']",168322426,9千-1.3万,成都,本科,1年及以上,民营,专业服务(咨询、人力资源、财会),2025-12-26 16:53:01,9.0,13.0,11.0,30.567459,104.200479,成都,,4.0,1.0
软件开发工程师,四川三思德科技,"['30.554107', '104.077616']",164322432,2-3.5万,成都-高新区,硕士,1年及以上,民营,计算机软件,2025-12-10 11:02:37,20.0,35.0,27.5,30.554107,104.077616,成都,高新区,5.0,1.0
电子工程师（初级/中级）,北京骐骥优才科技,"['30.658944', '104.08633']",169591234,7千-1.2万·13薪,成都-锦江区,本科,1年及以上,民营,专业服务(咨询、人力资源、财会),2025-12-01 22:02:14,6.5,11.1,8.8,30.658944,104.08633,成都,锦江区,4.0,1.0
C++开发工程师,成都臻识科技发展,"['30.554107', '104.077616']",161920063,1-1.5万,成都-高新区,本科,在校生/应届生,民营,计算机软件,2025-12-10 12:53:07,10.0,15.0,12.5,30.554107,104.077616,成都,高新区,4.0,0.0
物联网工程师,西安布质科技,"['30.553797', '104.071514']",158651002,7千-1.2万,成都-高新区,大专,无需经验,民营,电子技术/半导体/集成电路,2025-12-26 14:58:47,7.0,12.0,9.5,30.553797,104.071514,成都,高新区,3.0,0.0
驱动工程师,摩尔线程智能科技（成都）,"['30.554107', '104.077616']",161927672,1.5-3万,成都-高新区,本科,在校生/应届生,民营,计算机软件,2025-12-10 12:52:50,15.0,30.0,22.5,30.554107,104.077616,成都,高新区,4.0,0.0
C++软件开发工程师,中国电子科技集团公司第十研究所,"['0.000000', '0.000000']",168154039,1.5-2万,成都,硕士,在校生/应届生,事业单位,电子技术/半导体/集成电路,2025-11-12 10:13:28,15.0,20.0,17.5,0.0,0.0,成都,,5.0,0.0
软件研发工程师,四川畅讯建设工程,"['30.513995', '104.059227']",153312282,3-5千,成都-高新区,大专,无需经验,民营,通信/电信/网络设备,2025-12-26 09:17:40,3.0,5.0,4.0,30.513995,104.059227,成都,高新区,3.0,0.0
电子工程师,西安布质科技,"['30.553797', '104.071514']",158651257,8千-1.3万,成都-高新区,大专,无需经验,民营,电子技术/半导体/集成电路,2025-12-26 14:58:59,8.0,13.0,10.5,30.553797,104.071514,成都,高新区,3.0,0.0
Linux系统工程师,长虹先进技术研发中心,"['30.554107', '104.077616']",161927250,7-9千·15薪,成都-高新区,本科,在校生/应届生,民营,计算机软件,2025-12-10 12:53:05,5.6,7.2,6.4,30.554107,104.077616,成都,高新区,4.0,0.0
硬件驱动设计工程师,中国电子科技集团公司第十研究所,"['0.000000', '0.000000']",167577444,1.5-2万,成都,硕士,在校生/应届生,事业单位,电子技术/半导体/集成电路,2025-11-12 10:15:00,15.0,20.0,17.5,0.0,0.0,成都,,5.0,0.0
