公司标签,职位名称,公司名称,经纬度,jobid,薪资,城市,学历要求,经验要求,公司性质,行业,发布时间,薪资下限(k),薪资上限(k),平均薪资(k),省份,区域,详细地址,学历等级,经验年限
"['旗下品牌同行前40%', '国企供应商', '连续4年专利申请量增长', '拥有节能环保技术', '上市企业子公司', '高新技术企业', '小巨人企业', '国家知识产权优势企业', '创新型中小企业', '专精特新企业', '省级技术创新示范企业', '省级企业技术中心', '省级博士后创新实践基地', '上市企业供应商', '劳动保障诚信A级', '绝对控股5家公司', '战略性新兴领域创新能力', '拥有发明专利', '技术布局行业领先', '拥有工艺创新能力', '拥有绿色资质', '全国多家直营店', '大学生就业贡献']",嵌入式软件工程师（校招）,安徽光智科技,"['30.61176', '104.07382']",169797879,1.1-1.6万·13薪,成都-高新区,硕士,在校生/应届生,已上市,仪器仪表/工业自动化,2025-12-12 16:55:32,10.2,14.8,12.5,四川省,武侯区,四川省成都市武侯区火车南站街道食为天快餐(长寿路)长寿苑社区长安院,5.0,0.0
[],软件开发2（工作地武汉）,中国船舶集团有限公司第七一〇研究所,"['30.390866', '114.348331']",168090261,1.5-1.6万,武汉-江夏区,硕士,在校生/应届生,事业单位,学术/科研,2025-12-08 17:56:24,15.0,16.0,15.5,湖北省,江夏区,湖北省武汉市江夏区江夏区经济开发区庙山街道阳光三路,5.0,0.0
"['创新型中小企业', '拥有节能环保技术', '高新技术企业', '科技型中小企业', '天使轮融资', '绝对控股3家公司', '战略性新兴领域创新能力', '拥有发明专利', '2024年专利授权量同比高速增长', '技术布局行业领先', '拥有工艺创新能力', '拥有自主品牌', '大学生就业贡献']",嵌入式软件工程师,四川坤弘远祥科技,"['30.804453', '103.956302']",167784923,7千-1.2万,成都-郫都区,硕士,无需经验,合资,仪器仪表/工业自动化,2025-09-01 14:44:18,7.0,12.0,9.5,四川省,郫都区,四川省成都市郫都区红光街道马术垂钓园,5.0,0.0
"['小巨人企业', '高新技术企业', '创新型中小企业', '专精特新企业', '经营年限全国同行前5%', 'B轮融资', '战略性新兴领域创新能力', '拥有高价值专利', '专利授权量同领域前10%', '技术布局行业领先', '拥有自主品牌', '大学生就业贡献']",应用工程师（地点：上海）（成都）,苏州顺芯半导体,"['31.186858', '121.43842']",161144066,1.4-1.9万,上海-徐汇区,本科,在校生/应届生,民营,电子技术/半导体/集成电路,2025-12-30 09:05:17,14.0,19.0,16.5,上海市,徐汇区,上海市徐汇区徐家汇街道华谊兄弟时尚(上海)文化传媒有限公司上海电影广场,4.0,0.0
"['拥有节能环保技术', '旗下品牌同行前20%', '小巨人企业', '国企供应商', '经营年限全国同行前15%', '绝对控股1家公司', '战略性新兴领域创新能力', '拥有发明专利', '专利授权量同领域前5%', '技术布局行业领先', '拥有绿色低碳技术', '拥有工艺创新能力', '拥有绿色资质', '拥有自主品牌', '大学生就业贡献']",嵌入式软件工程师,成都瑞迪智驱科技,"['30.521255', '103.973761']",170055575,9千-1.4万,成都,本科,1年及以上,民营,机械/设备/重工,2025-12-30 13:30:50,9.0,14.0,11.5,四川省,双流区,四川省成都市双流区黄甲街道空港一路二段飞亚粉漆,4.0,1.0
[],软件开发1（工作地武汉）,中国船舶集团有限公司第七一〇研究所,"['30.390866', '114.348331']",168090023,1.5-1.6万,武汉-江夏区,硕士,在校生/应届生,事业单位,学术/科研,2025-12-24 16:23:49,15.0,16.0,15.5,湖北省,江夏区,湖北省武汉市江夏区江夏区经济开发区庙山街道阳光三路,5.0,0.0
['大学生就业贡献'],嵌入式软件工程师,成都云智优企业管理咨询,"['30.599284', '104.072329']",168972521,17-34万/年,成都,硕士,1年及以上,民营,专业服务(咨询、人力资源、财会),2025-10-30 11:10:39,14.2,28.3,21.2,四川省,武侯区,四川省成都市武侯区桂溪街道润和·原筑和平锦苑,5.0,1.0
"['拥有节能环保技术', 'A股上市', '高新技术企业', '省级企业技术中心', '海关高级认证', '经营年限全国同行前20%', '定向增发融资', '绝对控股5家公司', '战略性新兴领域创新能力', '拥有高价值专利', '专利授权量同领域前500', '技术布局行业领先', '拥有绿色低碳技术', '拥有工艺创新能力', '拥有绿色资质', '拥有自主品牌', '大学生就业贡献']",嵌入式软件开发（浙江绍兴）（成都）,浙江捷昌线性驱动科技,"['29.525223', '120.842252']",168433045,8千-1.5万,绍兴-新昌县,本科,在校生/应届生,民营,机械/设备/重工,2025-09-30 11:08:02,8.0,15.0,11.5,浙江省,新昌县,浙江省绍兴市新昌县七星街道京福线新柴工业园,4.0,0.0
['大学生就业贡献'],嵌入式软件开发工程师,成都零夏八度科技,"['30.545565', '104.081865']",158355420,7-9千·13薪,成都-高新区,本科,1年,民营,计算机软件,2025-12-30 07:59:49,6.5,8.3,7.4,四川省,双流区,四川省成都市双流区中和街道馨康花园三利宅院2期,4.0,1.0
[],软件开发3（工作地宜昌）,中国船舶集团有限公司第七一〇研究所,"['30.694217', '111.321064']",168095151,1.5-1.6万,宜昌,硕士,在校生/应届生,事业单位,学术/科研,2025-12-24 16:50:18,15.0,16.0,15.5,湖北省,西陵区,湖北省宜昌市西陵区南苑街道港窑路37-37#中恒沁园春,5.0,0.0
