职位名称,公司名称,经纬度,jobid,薪资,城市,学历要求,经验要求,公司性质,行业,发布时间,薪资下限(k),薪资上限(k),平均薪资(k),纬度,经度,主城市,区县,学历等级,经验年限
电子开发技术（实习生）,宜宾九博信息技术,"['30.586929', '104.083059']",164121904,3-6千,成都-武侯区,大专,1年及以上,民营,电子技术/半导体/集成电路,2025-11-29 09:51:11,6.0,10.0,8.0,30.586929,104.083059,成都,武侯区,3.0,1.0
硬件工程师,成都风雨兴科技,"['30.645643', '104.033027']",169479258,6千-1.2万,成都,大专,无需经验,民营,电子技术/半导体/集成电路,2025-12-25 10:42:35,7.0,12.0,9.5,30.645643,104.033027,成都,,3.0,0.0
初级C++开发,成都臻琰科技,"['30.648713', '104.049424']",157020547,5-7千,成都-武侯区,本科,无需经验,民营,计算机软件,2025-12-25 19:13:12,12.0,22.0,17.0,30.648713,104.049424,成都,武侯区,4.0,0.0
嵌入式调试工程师,成都河狸智能科技,"['30.773795', '103.941794']",168895889,5-7千,成都-郫都区,本科,1年及以上,创业公司,仪器仪表/工业自动化,2025-10-27 15:28:25,6.0,8.0,7.0,30.773795,103.941794,成都,郫都区,4.0,1.0
C/C++开发工程师,成都零夏八度科技,"['30.545565', '104.081865']",158355298,7-9千,成都-高新区,本科,无需经验,民营,计算机软件,2025-12-25 19:23:16,6.0,8.0,7.0,30.545565,104.081865,成都,高新区,4.0,0.0
嵌入式linux软件实习生,成都科立创智能科技,"['30.552939', '104.052905']",161071498,50元/天,成都-高新区,本科,在校生/应届生,民营,电子技术/半导体/集成电路,2025-10-29 12:19:30,4.0,7.0,5.5,30.552939,104.052905,成都,高新区,4.0,0.0
软件工程师实习生（C++方向）,成都视道信息技术,"['30.765144', '103.910165']",140462719,150元/天,成都,本科,在校生/应届生,民营,仪器仪表/工业自动化,2025-12-06 14:30:55,,,,30.765144,103.910165,成都,,4.0,0.0
电子工程师,四川进拓创力机械设备,"['30.620771', '104.010608']",152104538,4-6千,成都-武侯区,大专,无需经验,民营,原材料和加工,2025-12-26 08:54:14,220.0,260.0,240.0,30.620771,104.010608,成都,武侯区,3.0,0.0
硬件工程师（初级/中级）,北京骐骥优才科技,"['30.658944', '104.08633']",169591230,7.5千-1.4万·13薪,成都-锦江区,本科,1年及以上,民营,专业服务(咨询、人力资源、财会),2025-12-01 22:01:15,3.5,5.5,4.5,30.658944,104.08633,成都,锦江区,4.0,1.0
物联网助理工程师,北京智链元芯科技,"['30.658944', '104.08633']",168642254,6-9千·14薪,成都-锦江区,本科,1年及以上,民营,电子技术/半导体/集成电路,2025-10-15 16:30:28,6.0,7.0,6.5,30.658944,104.08633,成都,锦江区,4.0,1.0
物联网工程师,成都臻琰科技,"['30.648713', '104.049424']",157025954,6-8千,成都-武侯区,本科,无需经验,民营,计算机软件,2025-12-25 19:13:12,6.5,13.0,9.8,30.648713,104.049424,成都,武侯区,4.0,0.0
电子工程师助理,上海普拉齐兹科技,"['30.565716', '104.065116']",162802491,8千-1.6万,成都,本科,无需经验,民营,电子技术/半导体/集成电路,2025-12-26 11:30:38,5.5,7.0,6.2,30.565716,104.065116,成都,,4.0,0.0
